,Site,Type,Diet
61_CS_DNA,CaecaStool,DNA,CTRL
62_CS_DNA,CaecaStool,DNA,CTRL
64_CS_DNA,CaecaStool,DNA,CTRL+betaGluc
65_CS_DNA,CaecaStool,DNA,CTRL+betaGluc
66_CS_DNA,CaecaStool,DNA,CTRL+betaGluc
67_CS_DNA,CaecaStool,DNA,CTRL+Abx
68_CS_DNA,CaecaStool,DNA,CTRL+Abx
70_CS_DNA,CaecaStool,DNA,CTRL+betaGluc+Abx
72_CS_DNA,CaecaStool,DNA,CTRL+betaGluc+Abx
73_CS_DNA,CaecaStool,DNA,WSD
74_CS_DNA,CaecaStool,DNA,WSD
75_CS_DNA,CaecaStool,DNA,WSD
76_CS_DNA,CaecaStool,DNA,WSD
77_CS_DNA,CaecaStool,DNA,WSD
78_CS_DNA,CaecaStool,DNA,WSD
79_CS_DNA,CaecaStool,DNA,WSD+betaGluc
80_CS_DNA,CaecaStool,DNA,WSD+betaGluc
81_CS_DNA,CaecaStool,DNA,WSD+betaGluc
82_CS_DNA,CaecaStool,DNA,WSD+betaGluc
83_CS_DNA,CaecaStool,DNA,WSD+betaGluc
84_CS_DNA,CaecaStool,DNA,WSD+betaGluc
85_CS_DNA,CaecaStool,DNA,WSD+Abx
87_CS_DNA,CaecaStool,DNA,WSD+Abx
88_CS_DNA,CaecaStool,DNA,WSD+Abx
91_CS_DNA,CaecaStool,DNA,WSD+Abx
92_CS_DNA,CaecaStool,DNA,WSD+Abx
93_CS_DNA,CaecaStool,DNA,WSD+Abx
94_CS_DNA,CaecaStool,DNA,WSD+Abx
100_CS_DNA,CaecaStool,DNA,WSD+betaGluc+Abx
101_CS_DNA,CaecaStool,DNA,WSD+betaGluc+Abx
103_CS_DNA,CaecaStool,DNA,WSD+betaGluc+Abx
63_S_DNA,Stool,DNA,CTRL
64_S_DNA,Stool,DNA,CTRL+betaGluc
65_S_DNA,Stool,DNA,CTRL+betaGluc
66_S_DNA,Stool,DNA,CTRL+betaGluc
72_S_DNA,Stool,DNA,CTRL+betaGluc+Abx
96_CS_DNA,CaecaStool,DNA,WSD+betaGluc+Abx
98_CS_DNA,CaecaStool,DNA,WSD+betaGluc+Abx
99_CS_DNA,CaecaStool,DNA,WSD+betaGluc+Abx
61_CS_RNA,CaecaStool,RNA,CTRL
62_CS_RNA,CaecaStool,RNA,CTRL
64_CS_RNA,CaecaStool,RNA,CTRL+betaGluc
65_CS_RNA,CaecaStool,RNA,CTRL+betaGluc
66_CS_RNA,CaecaStool,RNA,CTRL+betaGluc
67_CS_RNA,CaecaStool,RNA,CTRL+Abx
68_CS_RNA,CaecaStool,RNA,CTRL+Abx
70_CS_RNA,CaecaStool,RNA,CTRL+betaGluc+Abx
72_CS_RNA,CaecaStool,RNA,CTRL+betaGluc+Abx
75_CS_RNA,CaecaStool,RNA,WSD
77_CS_RNA,CaecaStool,RNA,WSD
K+AB1_C_DNA,Colon,RNA,K+AB
K+AB2_C_DNA,Colon,RNA,K+AB
K+AB5_C_DNA,Colon,RNA,K+AB
K+B+A1_C_DNA,Colon,RNA,K+B+A
K+B+A2_C_DNA,Colon,RNA,K+B+A
K+B+A5_C_DNA,Colon,RNA,K+B+A
K2_C_DNA,Colon,RNA,K
K4_C_DNA,Colon,RNA,K
K5_C_DNA,Colon,RNA,K
63_S_RNA,Stool,RNA,CTRL
64_S_RNA,Stool,RNA,CTRL+betaGluc
65_S_RNA,Stool,RNA,CTRL+betaGluc
66_S_RNA,Stool,RNA,CTRL+betaGluc
67_S_RNA,Stool,RNA,CTRL+Abx
68_S_RNA,Stool,RNA,CTRL+Abx
70_S_RNA,Stool,RNA,CTRL+betaGluc+Abx
72_S_RNA,Stool,RNA,CTRL+betaGluc+Abx
73_S_RNA,Stool,RNA,WSD
74_S_RNA,Stool,RNA,WSD
75_S_RNA,Stool,RNA,WSD
76_S_RNA,Stool,RNA,WSD
77_S_RNA,Stool,RNA,WSD
78_S_RNA,Stool,RNA,WSD
79_S_RNA,Stool,RNA,WSD+betaGluc
80_S_RNA,Stool,RNA,WSD+betaGluc
81_S_RNA,Stool,RNA,WSD+betaGluc
82_S_RNA,Stool,RNA,WSD+betaGluc
84_S_RNA,Stool,RNA,WSD+betaGluc
85_S_RNA,Stool,RNA,WSD+Abx
86_S_RNA,Stool,RNA,WSD+Abx
88_S_RNA,Stool,RNA,WSD+Abx
90_S_RNA,Stool,RNA,WSD+Abx
92_S_RNA,Stool,RNA,WSD+Abx
93_S_RNA,Stool,RNA,WSD+Abx
96_S_RNA,Stool,RNA,WSD+betaGluc+Abx
97_S_RNA,Stool,RNA,WSD+betaGluc+Abx
98_S_RNA,Stool,RNA,WSD+betaGluc+Abx
